frame,cls,conf,x1,y1,x2,y2,u,v,X,Y,Z,range_m,_idx_in_frame,class_name
0,cup,0.934,1002.4,430.2,1370.4,725.7,1186,577,0.0698854484323502,0.0114414229734378,0.5999114513397217,0.6051255685509656,0,cup
0,bowl,0.9148,1385.6,504.2,1895.4,721.4,1640,612,0.2102782895582354,0.0222647600708719,0.5999214053153992,0.6069527238057513,1,bowl
0,laptop,0.7682,72.3,245.5,930.2,738.5,501,491,-0.1419343058233665,-0.0151520282905118,0.5999064445495605,0.60883621354721,2,laptop
1,cup,0.9335,1002.4,430.2,1370.4,725.7,1186,577,0.0698854085965683,0.0114414164516505,0.5999111093809555,0.6043324999253666,0,cup
1,bowl,0.9066,1385.6,503.7,1895.9,721.9,1640,612,0.2102781588020084,0.022264746226095,0.5999210322694724,0.6064491551413481,1,bowl
1,laptop,0.8258,71.9,245.6,930.0,738.3,500,491,-0.1422354402693712,-0.0151511664634765,0.5998723226760593,0.6117679367149372,2,laptop
2,cup,0.9335,1002.5,430.4,1370.4,725.6,1186,577,0.0698853333746338,0.0114414041365551,0.5999104636599805,0.6065391068723719,0,cup
2,bowl,0.9092,1385.6,503.5,1895.6,721.7,1640,612,0.210277912622942,0.0222647201600762,0.5999203299235869,0.6087949618671923,1,bowl
2,laptop,0.8215,72.4,245.6,930.0,738.1,501,491,-0.1419391586284794,-0.0151525463459596,0.5999269556518235,0.6129962533146301,2,laptop
3,cup,0.9325,1002.5,430.7,1370.3,725.6,1186,577,0.0698852057076318,0.0114413832353202,0.5999093677394677,0.6057064232806754,0,cup
3,bowl,0.9099,1385.6,503.4,1895.6,722.1,1640,612,0.2102774976658496,0.0222646762234429,0.5999191460560437,0.6078124752992684,1,bowl
3,laptop,0.8283,72.0,245.8,929.8,738.3,500,491,-0.1422352841720516,-0.0151511498357185,0.5998716643418105,0.6119610508526465,2,laptop
4,cup,0.9346,1002.3,430.2,1370.1,725.5,1186,577,0.0698852678299524,0.0114413934057886,0.5999099010105902,0.6064971994448876,0,cup
4,bowl,0.9167,1385.3,505.2,1895.5,721.3,1640,613,0.210275151177533,0.0225736559352351,0.5999124515533854,0.6093744618806722,1,bowl
4,laptop,0.8443,72.1,245.5,930.0,737.9,501,491,-0.1419398035497743,-0.0151526151937667,0.5999296815075552,0.6092817665184529,2,laptop
5,cup,0.9321,1001.9,430.6,1370.1,725.8,1185,577,0.069579085154135,0.0114418940031244,0.5999361489759808,0.604986701572744,0,cup
5,bowl,0.9122,1385.4,504.1,1895.6,721.6,1640,612,0.2102786395144247,0.0222647971250567,0.5999224037361554,0.6086943299897508,1,bowl
5,laptop,0.8712,72.4,245.9,930.1,738.7,501,491,-0.1419380235150108,-0.0151524251682691,0.5999221579259942,0.60752841371115,2,laptop
6,cup,0.9325,1001.8,430.8,1370.1,725.8,1185,577,0.0695785117985552,0.0114417997179846,0.599931205295883,0.6053268527884044,0,cup
6,bowl,0.8986,1385.2,504.3,1896.0,721.8,1640,612,0.2102791752819013,0.0222648538533777,0.5999239322742569,0.6103723695940396,1,bowl
6,laptop,0.878,72.1,245.7,929.7,738.8,500,491,-0.1422346704154558,-0.0151510844572985,0.5998690758477335,0.6068256473822611,2,laptop
7,cup,0.9354,1001.8,430.4,1370.0,725.7,1185,577,0.0695780597071214,0.0114417253740599,0.5999273071993042,0.6077102832106084,0,cup
7,bowl,0.9088,1385.2,505.2,1895.2,721.2,1640,613,0.210276604284361,0.0225738119305269,0.5999165972495109,0.6092779929729818,1,bowl
7,laptop,0.891,72.2,245.4,929.6,738.5,500,491,-0.1422372869859661,-0.0151513631789398,0.5998801111299846,0.6055589801857066,2,laptop
8,cup,0.9316,1001.8,430.9,1370.1,725.9,1185,577,0.0695777791417604,0.011441679236645,0.599924888062837,0.6085522413250924,0,cup
8,bowl,0.9075,1385.2,506.0,1895.4,721.7,1640,613,0.2102777631752564,0.0225739363408731,0.5999199035511554,0.6092109912280511,1,bowl
8,laptop,0.891,72.2,245.6,929.5,738.4,500,491,-0.1422392878174992,-0.0151515763109944,0.5998885495575436,0.6072371296843626,2,laptop
9,cup,0.9323,1002.0,430.7,1370.3,726.0,1186,578,0.069883352542752,0.011750298215153,0.5998934597806934,0.6073323231366623,0,cup
9,bowl,0.9115,1385.3,506.9,1895.6,722.1,1640,614,0.2102761685690813,0.0228829948148706,0.5999153541591118,0.6085707461441555,1,bowl
9,laptop,0.8783,72.1,245.4,929.6,738.4,500,491,-0.1422409951063336,-0.0151517581743703,0.5998957499804244,0.6074403926623413,2,laptop
10,cup,0.9331,1001.8,430.7,1370.1,725.7,1185,577,0.069578431836654,0.0114417865686942,0.599930515835322,0.6058542085490325,0,cup
10,bowl,0.9153,1385.1,508.4,1894.9,721.5,1639,614,0.2099929407035973,0.0228858285891991,0.5999896462150094,0.6056667613967867,1,bowl
