frame,cls,conf,x1,y1,x2,y2,u,v,X,Y,Z,range_m
48,person,0.655,1792.4,1.4,1918.7,348.1,1855,174,0.2769870572155214,-0.1132706848501462,0.6004063487052917,0.3945900910017985
49,person,0.8411,1716.1,3.8,1919.1,508.5,1817,255,0.2668505161313477,-0.0887425870448472,0.6040822294883864,0.4037943812676734
50,person,0.8697,1640.4,19.1,1919.1,529.8,1779,274,0.2556880312181019,-0.0830439759511784,0.6056689812719962,0.4048969673247978
51,person,0.8904,1577.2,41.5,1919.1,555.3,1748,298,0.2464371427626226,-0.0756824727773536,0.6067206579325323,0.4148160430960489
51,cup,0.4404,1214.9,132.4,1639.1,530.5,1426,331,0.1441034771050531,-0.0646301002466869,0.5999255776405334,0.4092355726891787
52,person,0.9081,1520.9,68.3,1919.1,575.9,1719,321,0.2376497161194861,-0.0685708667064129,0.6074413595063667,0.4118113414101768
52,cup,0.6536,1152.9,170.3,1566.3,567.2,1359,368,0.1239206160579465,-0.0534194134385132,0.602531148320254,0.4097182301801932
53,person,0.9006,1469.8,86.3,1919.1,596.0,1694,341,0.2298975101425483,-0.062329161469165,0.6076409621640045,0.4048334106741467
53,cup,0.5925,1106.7,199.5,1496.2,592.4,1301,395,0.1061615272216615,-0.0451419983787124,0.6039786867871916,0.4080142754033463
54,person,0.8838,1424.3,112.8,1919.0,618.4,1671,365,0.2227191467351644,-0.0548183553848857,0.6077105673546244,0.4124508658761995
54,cup,0.6241,1039.9,223.1,1564.8,611.8,1301,417,0.10598458468108,-0.0382290437412693,0.6029720177415017,0.4038234849500821
55,person,0.8988,1376.2,141.7,1918.5,639.0,1647,390,0.2152279691206561,-0.0469930063582218,0.6077861587480201,0.4124324554386505
55,cup,0.5274,1011.2,244.9,1490.3,645.0,1250,444,0.090308472168988,-0.0298952183731822,0.6041424215293993,0.4062709265382929
56,person,0.9105,1339.6,169.6,1919.3,659.8,1629,414,0.2094301330232781,-0.0394442403003483,0.6073260164687947,0.4108422525511666
56,cup,0.702,974.6,266.5,1463.6,694.3,1218,480,0.0803576393324409,-0.0186878231005676,0.604249498908113,0.4141879035786226
57,person,0.9002,1306.2,192.8,1918.8,692.3,1612,442,0.2039612447236606,-0.030656751507544,0.6068884787473173,0.4036808038147553
57,cup,0.708,942.8,290.8,1422.7,716.1,1182,503,0.0691358980664247,-0.0115226496777374,0.6041704347001857,0.4153216776885737
58,person,0.9249,1280.8,219.3,1918.6,710.6,1599,464,0.1996521824724789,-0.0237457994802948,0.6061526926662419,0.4102597300271428
58,cup,0.7734,915.6,316.2,1393.4,730.9,1154,523,0.0603729312965603,-0.0052904115053686,0.6037391899402087,0.4061946037028302
59,person,0.9282,1258.2,239.5,1918.4,734.1,1588,486,0.195976997520375,-0.0168515252644908,0.6054165528066774,0.4025598087392583
59,cup,0.5915,898.8,334.9,1334.0,745.9,1116,539,0.0485274417876928,-0.0003110733447929,0.6034921618315381,0.4045018819989885
60,person,0.9376,1245.8,262.8,1918.7,754.9,1581,508,0.1935162563434396,-0.0099718521787279,0.6045534286306654,0.4049096043370789
60,cup,0.7101,889.2,355.1,1342.5,780.7,1115,567,0.0481380243282518,0.0083853332700825,0.6025115807417005,0.4125190345399788
61,person,0.9381,1234.1,276.9,1918.9,775.2,1576,525,0.1916959305894972,-0.0046679203877312,0.6037275802645845,0.4108672598046423
61,cup,0.7147,874.4,373.4,1331.9,800.4,1102,586,0.0440609425799269,0.0142732630892721,0.6019692043918737,0.4114995460791942
62,person,0.9367,1228.2,290.0,1918.4,788.1,1573,539,0.1905187761160206,-0.0003107973509233,0.6029567249650569,0.4040579093731642
62,cup,0.6917,867.7,386.0,1316.9,815.8,1091,600,0.0406172890604383,0.0186033385009641,0.6015177854976663,0.4047334341467377
63,person,0.9394,1225.0,301.2,1918.5,797.2,1571,549,0.1896938278698542,0.002794180770587,0.6023110419371155,0.399089599743382
63,cup,0.8334,860.4,394.0,1307.3,827.1,1083,610,0.038113180775842,0.0216904280838125,0.6011445557071904,0.4035026225330836
64,person,0.9366,1223.2,307.1,1919.0,805.1,1571,556,0.1895039358366277,0.0049624598582422,0.6017081015585455,0.4055315026207297
64,cup,0.8315,856.3,401.1,1320.4,833.6,1088,617,0.039633219402033,0.0238418585465354,0.6007008088297522,0.4052741155923392
65,person,0.9369,1222.7,311.3,1918.9,814.0,1570,562,0.1890756188063072,0.0068191206782602,0.6013322974088579,0.4059179261115136
