frame,cls,conf,x1,y1,x2,y2,u,v,X,Y,Z,range_m
0,cup,0.9747,598.9,462.0,1136.9,907.1,867,684,-0.0287652601923602,0.0445397577172029,0.6000593304634094,0.4045640258285255
1,cup,0.9743,599.1,462.0,1137.0,906.9,868,684,-0.0284562514858805,0.0445402197170304,0.6000655547295788,0.4029628844518855
2,cup,0.9748,599.1,461.5,1136.8,906.8,867,683,-0.0287656203014519,0.044231007560297,0.6000668425394003,0.40828854237023166
3,cup,0.9726,599.0,462.1,1136.8,907.7,867,684,-0.028764730184,0.0445389370590968,0.600048274194159,0.4117516851419764
4,cup,0.9738,598.8,462.3,1136.8,907.5,867,684,-0.0287649012736793,0.0445392019721486,0.6000518432200505,0.4045915609707476
5,cup,0.9744,598.8,462.3,1136.6,907.1,867,684,-0.0287651110768159,0.0445395268286182,0.600056219830199,0.40997342530338654
6,cup,0.9751,598.8,461.7,1136.8,907.1,867,684,-0.0287653709637561,0.044539929234203,0.6000616412163527,0.40905631497551
7,cup,0.9725,598.9,461.6,1136.9,907.3,867,684,-0.0287656258719935,0.0445403239308287,0.6000669587439981,0.4146209590317287
8,cup,0.9734,599.0,461.4,1136.7,906.5,867,683,-0.0287665781003843,0.044232480304892,0.6000868227579785,0.4114303454194321
9,cup,0.9726,599.0,461.2,1136.9,906.7,867,683,-0.0287664732504796,0.0442323190840709,0.6000846355306363,0.4109907927345259
10,cup,0.9747,598.9,461.2,1136.7,906.4,867,683,-0.0287664132513743,0.044232226827382,0.60008338391592,0.40211824748416525
11,cup,0.9728,598.8,461.3,1136.5,906.6,867,683,-0.0287663486786488,0.0442321275381375,0.6000820368929436,0.40649482698858946
12,cup,0.9711,599.0,461.3,1136.8,906.8,867,683,-0.0287663332683522,0.0442321038427352,0.6000817154255833,0.4022706047831556
13,cup,0.9717,598.8,460.9,1136.5,906.1,867,683,-0.0287664031066917,0.0442322112285689,0.6000831722921967,0.407289501839765
14,cup,0.9708,598.9,460.5,1136.5,906.1,867,683,-0.028766446342308,0.0442322777091403,0.6000840742112071,0.4002805043898519
15,cup,0.9706,598.9,461.0,1136.4,906.6,867,683,-0.0287664454690309,0.0442322763663593,0.6000840559941599,0.410371582813764
16,cup,0.9719,598.7,460.7,1136.2,906.4,867,683,-0.0287664587269203,0.0442322967521463,0.600084332561109,0.4039882184323178
17,cup,0.9719,598.9,460.9,1136.4,906.2,867,683,-0.0287664923327015,0.0442323484255517,0.6000850335963995,0.40989248978894943
18,cup,0.9715,599.0,461.6,1136.3,906.8,867,683,-0.0287665222625775,0.0442323944467589,0.6000856579502637,0.40167189399629466
19,cup,0.9708,598.9,462.2,1136.4,906.9,867,684,-0.0287657420939529,0.044540503887411,0.6000693831987282,0.407057511916325
20,cup,0.968,599.0,462.2,1136.6,906.9,867,684,-0.0287659808813685,0.0445408736227641,0.6000743644370602,0.4106843653612831
21,cup,0.9683,599.0,462.2,1136.3,907.2,867,684,-0.0287661690527528,0.0445411649849076,0.6000782897968219,0.4100150651896335
22,cup,0.9717,599.0,462.3,1136.2,906.9,867,684,-0.028766294809478,0.0445413597049982,0.6000809131520711,0.4061732241470595
23,cup,0.9691,599.4,462.5,1135.8,908.5,867,685,-0.0287655675308387,0.0448495407738883,0.6000657417150517,0.40433677581355393
24,cup,0.9682,599.3,462.3,1136.0,908.4,867,685,-0.0287658959319582,0.0448500527971392,0.6000725923451024,0.4035326167205713
25,cup,0.9666,599.3,462.2,1135.9,908.4,867,685,-0.0287661302100045,0.0448504180693619,0.6000774795154834,0.4042109112799773
26,cup,0.967,598.8,462.4,1136.4,907.0,867,684,-0.0287671210556223,0.0445426390538668,0.6000981491063021,0.40275904561121656
27,cup,0.9697,599.0,462.6,1136.3,907.0,867,684,-0.0287670274465108,0.0445424941107264,0.6000961963681598,0.3952934768786834
28,cup,0.9698,599.1,462.3,1136.3,907.0,867,684,-0.0287669467758536,0.0445423692013217,0.6000945135333707,0.3982300475326528
29,cup,0.9681,599.2,462.3,1136.4,907.3,867,684,-0.0287668539346402,0.0445422254471848,0.6000925768140096,0.4008848878390602
30,cup,0.97,599.3,462.5,1136.7,907.0,867,684,-0.028766744491677,0.0445420559871129,0.6000902937729128,0.41095032134299003
