frame,cls,conf,x1,y1,x2,y2,u,v,X,Y,Z,range_m
0,cup,0.9725,643.5,454.6,1191.6,903.7,917,678,-0.0133003003774246,0.0426846849322001,0.6000698804855347,0.40529856753674026
1,cup,0.9738,643.5,454.3,1191.6,903.5,917,678,-0.0133002728160631,0.0426845964794584,0.6000686369991118,0.4023109707541054
2,cup,0.9738,643.4,454.5,1191.6,905.0,917,679,-0.0132999493061144,0.0429928593848817,0.6000540411952047,0.4034152081123701
3,cup,0.9734,643.4,454.7,1191.5,904.3,917,679,-0.0133000335639694,0.0429931317532965,0.6000578426582928,0.4034331763394759
4,cup,0.9741,643.4,454.4,1191.3,903.7,917,678,-0.0133004609156493,0.0426852001478978,0.6000771234913713,0.40228820418918937
5,cup,0.9736,643.3,454.5,1191.3,904.3,917,679,-0.0133000878835091,0.0429933073443668,0.6000602933938993,0.4028295313982529
6,cup,0.9742,643.3,454.7,1191.1,904.4,917,679,-0.0133001906591053,0.0429936395724568,0.6000649303222376,0.40160452012847175
7,cup,0.9752,643.2,454.4,1191.1,903.8,917,678,-0.0133006189002889,0.0426857071683692,0.6000842512870715,0.4032329481926727
8,cup,0.9752,643.0,454.7,1191.1,904.3,917,679,-0.0133002161339453,0.0429937219213581,0.6000660796710295,0.401811094168759
9,cup,0.9754,643.0,454.9,1191.0,904.8,917,679,-0.0133002769878579,0.0429939186351685,0.6000688252180482,0.40100390366173194
10,cup,0.9744,643.0,454.4,1191.1,903.6,917,678,-0.0133006768833528,0.042685893253551,0.6000868673099602,0.40306700697534886
11,cup,0.975,643.0,454.6,1191.1,903.7,917,678,-0.0133006282873565,0.0426857372943071,0.6000846748035612,0.40479601298030704
12,cup,0.974,643.3,454.6,1191.0,903.7,917,678,-0.0133005835707134,0.0426855937850802,0.6000826573220044,0.404010430448394
13,cup,0.9732,643.3,454.1,1191.0,903.2,917,678,-0.013300562020404,0.0426855246236222,0.6000816850363259,0.4029330654650009
14,cup,0.9736,643.6,454.2,1191.0,903.6,917,678,-0.0133005559349077,0.0426855050934247,0.6000814104768839,0.4013259947968083
15,cup,0.9743,643.4,454.3,1190.9,903.4,916,678,-0.0136097539424559,0.0426851373649753,0.6000762408764284,0.4033589639374262
16,cup,0.9752,643.5,454.0,1191.0,903.2,917,678,-0.0133005776556274,0.0426855748017812,0.6000823904509706,0.4028099073644501
17,cup,0.9736,643.5,454.1,1190.9,903.6,916,678,-0.0136097836737575,0.0426852306131486,0.6000775517779914,0.40262929457563024
18,cup,0.9738,643.3,454.3,1190.9,904.0,916,679,-0.0136094451431078,0.0429934744293634,0.6000626254097011,0.40356677840045413
19,cup,0.9738,643.5,454.2,1190.9,903.2,916,678,-0.0136099199085927,0.0426856578951318,0.600083558593996,0.4035233322945618
20,cup,0.9746,643.3,454.3,1191.0,903.3,917,678,-0.0133007067412652,0.0426859890766187,0.600088214409906,0.40440869924750455
21,cup,0.9746,643.2,454.5,1191.1,903.7,917,678,-0.0133006661993547,0.042685858965371,0.6000863852798336,0.4047441010593993
22,cup,0.9749,643.4,454.3,1190.9,903.2,916,678,-0.0136098443195563,0.0426854208204266,0.6000802257501376,0.40360508479758994
23,cup,0.9751,643.4,454.3,1190.8,903.3,916,678,-0.0136098612780422,0.0426854740084051,0.6000809734774305,0.40335419537215783
24,cup,0.9756,643.5,454.4,1190.9,903.5,916,678,-0.0136098725594602,0.0426855093910345,0.6000814708935457,0.40314830963944065
25,cup,0.9756,643.8,454.4,1190.9,903.2,916,678,-0.0136098742194064,0.0426855145972294,0.6000815440832802,0.4026837677074524
26,cup,0.9757,643.8,454.3,1190.9,903.3,916,678,-0.0136098520576676,0.0426854450899576,0.6000805669360826,0.39893962837968777
27,cup,0.9747,643.7,454.5,1190.9,903.2,916,678,-0.0136098406307507,0.0426854092509909,0.6000800631046845,0.39946507617180166
28,cup,0.9748,643.6,454.5,1190.9,903.2,916,678,-0.0136098395950237,0.0426854060025745,0.6000800174377939,0.4030984618647949
29,cup,0.9749,643.5,454.2,1190.9,903.1,916,678,-0.0136098450476212,0.042685423103903,0.600080257851708,0.3993850336132492
30,cup,0.9723,643.2,454.6,1191.0,903.4,917,678,-0.0133006201534708,0.0426857111902088,0.6000843078269007,0.4007144980218733
31,cup,0.9727,643.1,454.5,1191.0,903.4,917,678,-0.0133005883707082,0.0426856091897149,0.6000828738834555,0.40292672782736555
