frame,cls,conf,x1,y1,x2,y2,u,v,X,Y,Z,range_m
0,bottle,0.4313,835.7,28.8,1095.4,939.5,965,483,0.001546406,-0.017629023,0.600015163,0.599264126
1,bottle,0.3746,835.8,29.7,1095.6,939.2,965,484,0.001546413,-0.017319821,0.600017884,0.602593685
2,bottle,0.3414,836,28.7,1096,939,966,483,0.00185567,-0.017628863,0.600009723,0.60201063
3,bottle,0.2953,835.8,28.7,1095.7,939,965,483,0.001546397,-0.017628931,0.600012028,0.60325417
4,bottle,0.3444,835.8,28.4,1095.9,938.2,965,483,0.001546401,-0.017628974,0.600013498,0.600293704
5,bottle,0.2319,836.3,28.4,1096.4,938.7,966,483,0.001855685,-0.01762901,0.600014723,0.599565138
6,bottle,0.2733,837.1,28.5,1096.8,940,966,484,0.001855707,-0.017319928,0.600021608,0.603091607
48,bottle,0.1588,835.6,33,1096.2,942.2,965,487,0.00154647,-0.016392582,0.600040178,0.599854423
182,bottle,0.1704,836.2,32.9,1095.9,952.8,965,492,0.00154653,-0.014846693,0.600063644,0.598964187
