frame,cls,conf,x1,y1,x2,y2,u,v,X,Y,Z,range_m
0,cup,0.9719,836.1,460.7,1329.4,916.8,1082,688,0.037734345,0.045776091,0.600047767,0.406832576
0,bowl,0.8502,1360.5,525.4,1866.6,735.9,1613,630,0.20192742,0.027830732,0.599916697,0.600925082
0,laptop,0.1866,220.7,313.2,801.9,654.4,510,483,-0.139126491,-0.017622689,0.599799573,0.406294163
1,cup,0.9723,836.1,460.5,1329.4,916.6,1082,688,0.037994825,0.046092083,0.604189886,0.409081568
1,bowl,0.8475,1360.3,525.5,1866.4,735.9,1613,630,0.201927263,0.02783071,0.59991623,0.604775227
2,cup,0.9721,835.7,460.5,1329.3,916.7,1082,688,0.037909878,0.045989032,0.602839069,0.407298283
2,bowl,0.8569,1359.8,524.8,1866.1,735.6,1612,629,0.20163992,0.027524468,0.599981357,0.607096932
3,cup,0.9718,836.0,460.4,1329.3,916.7,1082,688,0.037857383,0.045925349,0.602004294,0.408701102
3,bowl,0.8484,1360.1,524.0,1866.1,735.9,1613,629,0.201920694,0.027520585,0.599896715,0.603273465
3,laptop,0.1717,220.5,313.1,802.0,654.6,511,483,-0.138824393,-0.017623587,0.599830129,0.916273238
4,cup,0.9708,836.0,460.6,1329.7,916.5,1082,688,0.037822244,0.045882723,0.601445526,0.405446256
4,bowl,0.845,1360.0,523.1,1865.8,735.9,1612,629,0.201635444,0.027523857,0.599968039,0.606003337
4,laptop,0.1902,220.4,313.1,802.0,654.3,511,483,-0.138822149,-0.017623302,0.599820434,0.916986598
5,cup,0.9707,836.0,460.4,1329.8,916.7,1082,688,0.037797827,0.045853101,0.601057241,0.406632303
5,bowl,0.8345,1359.2,523.6,1865.9,736.0,1612,629,0.201630812,0.027523224,0.599954255,0.603529903
5,laptop,0.2181,220.3,312.5,803.1,653.7,511,482,-0.138816,-0.017931688,0.599793864,0.915003231
6,cup,0.971,836.0,460.7,1329.7,916.4,1082,688,0.037780582,0.045832181,0.600783017,0.405407646
6,bowl,0.8448,1359.8,523.6,1865.4,736.0,1612,629,0.201627999,0.02752284,0.599945885,0.610222885
6,laptop,0.1898,220.4,312.6,803.0,654.1,511,483,-0.138818361,-0.017622821,0.599804069,0.922254064
7,cup,0.9717,836.0,460.5,1329.4,916.3,1082,688,0.037768254,0.045817227,0.600586985,0.403618031
7,bowl,0.8313,1359.4,524.7,1865.4,735.8,1612,629,0.201626748,0.02752267,0.599942162,0.605385987
7,laptop,0.1701,220.4,312.6,803.0,654.0,511,483,-0.138818908,-0.01762289,0.599806429,0.906436031
