frame,cls,conf,x1,y1,x2,y2,u,v,X,Y,Z,range_m
0,cup,0.9646,784.0,351.2,1327.7,802.0,1055,576,0.0293841948369094,0.0111350633066183,0.6000660061836243,0.4023574404470635
1,cup,0.9647,784.2,350.9,1327.8,800.8,1055,575,0.0293842585770191,0.0108257794757439,0.6000673078450555,0.40086658229735833
2,cup,0.9653,784.2,350.8,1327.6,800.5,1055,575,0.0293841591869006,0.0108257428583318,0.600065278161008,0.4018124321776402
3,cup,0.9652,784.0,348.7,1327.8,799.3,1055,573,0.0293844640316696,0.0102072348741589,0.6000715035139265,0.3962969391721472
4,cup,0.9652,784.1,350.8,1327.7,800.8,1055,575,0.0293839739477311,0.0108256746123219,0.6000614953202926,0.3961608445656259
5,cup,0.9641,783.9,349.8,1327.4,799.4,1055,574,0.0293842896925758,0.0105164826268166,0.6000679432678704,0.39443117193273186
6,cup,0.9617,784.4,347.6,1328.2,798.2,1056,572,0.0296935390632704,0.0098978463544234,0.6000667521316538,0.39581064459442056
7,cup,0.962,785.3,348.4,1328.9,799.0,1056,573,0.0296934865763719,0.0102071360106278,0.6000656914415619,0.39761470028846596
8,cup,0.9642,784.9,348.9,1328.3,799.2,1056,573,0.029693602479204,0.0102071758522264,0.600068033682945,0.3972646188989532
9,cup,0.9673,783.0,347.6,1325.9,798.0,1054,572,0.0290762936686178,0.0098983127382528,0.6000950271138809,0.39971331242335817
9,cup,0.1522,1451.9,404.6,1510.3,471.3,1480,437,0.1568259306865501,-0.0310635978090666,0.585090928687313,0.40647305825360447
10,cup,0.9666,778.2,344.3,1322.0,795.8,1050,569,0.0280324139749386,0.009032666725258,0.6042641423557764,0.40291410021343216
11,cup,0.9701,770.7,345.6,1319.2,796.3,1044,570,0.0261169142467806,0.0093274693738502,0.6031862207705265,0.40050955997893306
12,cup,0.972,768.0,342.7,1315.6,796.2,1041,569,0.0251503056400273,0.0090044304143307,0.6023751996188506,0.39957512692078256
13,cup,0.9699,762.2,348.5,1310.5,798.1,1036,573,0.0235746087771433,0.0102363432848122,0.6017827532266039,0.4013223237796711
14,cup,0.9737,754.6,350.4,1304.3,799.9,1029,574,0.0213887113655748,0.010539365020718,0.6013736071036531,0.3991891609398825
15,cup,0.9788,747.1,356.2,1297.2,804.6,1022,580,0.0192083971271787,0.0123925142755992,0.6010467752941485,0.3999913375827645
16,cup,0.978,739.4,356.9,1291.0,805.8,1015,580,0.0170335543714684,0.0123880395428861,0.600829747207056,0.40023058602383943
17,cup,0.9723,733.9,352.8,1284.0,803.6,1008,577,0.0148619489815781,0.0114560856732998,0.6006802649370473,0.4026453113675071
18,cup,0.9706,728.6,352.5,1277.7,802.4,1002,577,0.0130013017333247,0.0114535277174527,0.6005461428957414,0.40254695628423565
19,cup,0.9729,722.3,351.9,1271.9,804.0,996,577,0.011142047310493,0.0114515486246734,0.6004423725496624,0.3986204311829644
20,cup,0.9707,716.8,351.7,1267.2,803.6,991,577,0.0095932166473436,0.0114499682565068,0.6003595086469241,0.3977560235496393
21,cup,0.9681,712.3,351.8,1262.2,803.8,987,577,0.0083544405599734,0.011448677804408,0.6002918459975076,0.4006843211519431
