frame,cls,conf,x1,y1,x2,y2,u,v,X,Y,Z,range_m
35,shoe,0.6875,443.6,337.9,1324.7,775.2,883,556,-0.0238114270651653,0.0049478290005538,0.5999340810414284,0.6072029312653481
36,shoe,0.7247,443.6,338.1,1324.6,775.2,883,556,-0.0238114490101016,0.0049478335605405,0.5999346339488671,0.6046130590263948
37,shoe,0.6852,443.7,338.0,1324.7,775.2,883,556,-0.0238114816433882,0.0049478403414832,0.5999354561516179,0.6059265913937186
38,shoe,0.6633,443.4,338.0,1324.7,775.1,883,556,-0.023811478617887,0.0049478397128076,0.5999353799234561,0.6027252992722126
39,shoe,0.6439,443.6,338.0,1324.7,775.0,883,556,-0.0238114770488556,0.0049478393867752,0.599935340391371,0.6092195267449599
40,shoe,0.6295,443.7,338.0,1324.7,774.7,883,556,-0.02381147334726,0.0049478386176124,0.599935247128864,0.6100322172542119
41,shoe,0.6256,443.8,337.8,1324.7,774.8,883,555,-0.0238115325118827,0.0046386102295875,0.599936737794395,0.6123921695886008
42,shoe,0.6385,443.4,337.6,1324.6,774.9,883,555,-0.0238114882621269,0.0046386016095052,0.5999356229121788,0.6107431886667423
43,shoe,0.6667,443.6,337.9,1324.5,775.0,883,556,-0.0238114151914523,0.0049478265332887,0.599933781880647,0.6068239141515503
44,shoe,0.6022,443.6,337.9,1324.4,774.9,883,555,-0.0238114907061652,0.0046386020856166,0.599935684490254,0.6039809687501323
45,shoe,0.6406,443.7,337.9,1324.5,775.2,883,556,-0.0238114303965625,0.0049478296927922,0.5999341649767037,0.6100577976976943
46,shoe,0.5632,443.7,338.0,1324.4,775.4,883,556,-0.0238114476068292,0.0049478332689515,0.5999345985931163,0.6038005377231046
47,shoe,0.5731,443.7,338.2,1324.3,775.4,883,556,-0.0238114569720757,0.0049478352149767,0.599934834552536,0.6015479168290085
48,shoe,0.5607,443.7,338.2,1324.3,775.5,883,556,-0.0238114644463546,0.0049478367680736,0.599935022868618,0.599804362929891
49,shoe,0.5568,443.6,338.2,1324.5,775.3,883,556,-0.0238114679840747,0.0049478375031843,0.5999351120022454,0.601697579971042
50,shoe,0.5442,443.6,338.5,1324.5,775.2,883,556,-0.0238114680096099,0.0049478375084903,0.5999351126456094,0.6071066950430315
51,shoe,0.5628,443.6,338.1,1324.5,775.3,883,556,-0.023811458441567,0.0049478355203256,0.5999348715766891,0.6036420720931254
52,shoe,0.549,444.7,337.6,1322.7,775.5,883,556,-0.0238114425108227,0.004947832210041,0.5999344701981244,0.605220958677411
53,shoe,0.5104,444.7,337.6,1322.7,775.5,883,556,-0.0238114398314356,0.0049478316532853,0.5999344026903829,0.6100124315107486
54,shoe,0.5154,444.7,337.4,1322.6,775.4,883,556,-0.0238114481016931,0.0049478333717803,0.599934611061318,0.6090369793951647
55,shoe,0.5453,444.9,337.5,1322.5,775.5,883,556,-0.0238114464683455,0.0049478330323834,0.5999345699087698,0.6063690040038597
56,shoe,0.6306,444.5,337.5,1322.5,775.5,883,556,-0.023811442080697,0.0049478321206643,0.5999344593610132,0.6095965481660556
57,shoe,0.567,444.6,337.8,1322.4,775.5,883,556,-0.0238114593299821,0.0049478357049313,0.5999348939605009,0.6104139525792708
58,shoe,0.6125,444.4,337.8,1322.4,775.6,883,556,-0.0238114693628178,0.0049478377896764,0.5999351467399773,0.6025096627475794
59,shoe,0.5202,444.1,338.1,1322.8,775.6,883,556,-0.0238114632638692,0.0049478365223624,0.599934993075642,0.604306989931366
60,shoe,0.6064,443.8,338.1,1323.0,775.3,883,556,-0.0238114300525508,0.0049478296213092,0.5999341563092544,0.6070411350534359
61,shoe,0.6027,444.0,338.3,1323.1,775.2,883,556,-0.0238114262650594,0.004947828834298,0.5999340608825858,0.6090909912328422
62,shoe,0.5542,443.9,338.5,1323.2,775.3,883,556,-0.0238114350047978,0.0049478306503476,0.5999342810821952,0.6076391438224314
63,shoe,0.5277,444.2,338.6,1323.2,775.3,883,556,-0.0238114439398895,0.00494783250699,0.5999345062037724,0.6081451254524931
64,shoe,0.4884,443.8,338.4,1323.3,775.1,883,556,-0.023811442791767,0.0049478322684191,0.5999344772765766,0.6066029539984169
65,shoe,0.5483,443.8,338.3,1323.1,775.2,883,556,-0.0238114381191451,0.0049478312974847,0.5999343595488521,0.6028588696900432
66,shoe,0.5644,443.8,338.4,1323.2,775.4,883,556,-0.0238114232048456,0.0049478281984094,0.599933983779833,0.6086757188918888
67,shoe,0.5914,443.7,338.1,1322.9,775.4,882,556,-0.0241203005566893,0.0049477539603465,0.5999249822674391,0.6119168819757544
68,shoe,0.5675,444.0,338.5,1322.6,775.4,883,556,-0.0238115292719911,0.0049478502383358,0.599936656164622,0.6047609258548754
69,shoe,0.5645,444.0,338.5,1322.7,775.3,883,556,-0.0238115268006783,0.0049478497248162,0.5999365938993587,0.6084446966675047
70,shoe,0.6109,444.1,338.2,1322.7,775.3,883,556,-0.0238115281925659,0.0049478500140396,0.5999366289682684,0.6102948522323526
71,shoe,0.555,444.0,338.0,1322.8,775.3,883,556,-0.0238115260128665,0.0049478495611151,0.5999365740502691,0.609984753633484
72,shoe,0.5684,444.2,338.0,1322.8,775.5,883,556,-0.0238115026922195,0.0049478447152663,0.5999359864814972,0.6091120979099438
73,shoe,0.632,444.3,337.9,1322.7,775.3,883,556,-0.0238114907846858,0.0049478422409736,0.599935686468599,0.6051526255940934
74,shoe,0.6636,444.4,337.5,1322.7,775.2,883,556,-0.0238114929589499,0.0049478426927688,0.5999357412496547,0.6092403348152003
75,shoe,0.6489,444.3,337.6,1322.9,775.2,883,556,-0.0238115060498385,0.0049478454129534,0.5999360710774386,0.6093827883825407
76,shoe,0.5929,444.3,337.4,1322.8,775.2,883,556,-0.0238115111303584,0.0049478464686459,0.5999361990822426,0.60299152913893
77,shoe,0.6639,444.2,337.4,1322.8,775.2,883,556,-0.0238115116427845,0.004947846575124,0.5999362119929286,0.603608839362989
78,shoe,0.6291,444.3,337.2,1322.7,775.2,883,556,-0.0238114960389762,0.0049478433327742,0.5999358188515863,0.6074363199038831
79,shoe,0.6411,444.5,337.1,1322.8,775.2,883,556,-0.0238114795377379,0.0049478399039455,0.5999354030992995,0.6105774720162005
80,shoe,0.5621,444.6,337.3,1322.8,775.1,883,556,-0.023811479637539,0.0049478399246834,0.5999354056138113,0.6102732187033518
81,shoe,0.549,444.6,337.2,1322.6,775.4,883,556,-0.0238114720410346,0.004947838346189,0.5999352142182318,0.6104758367362836
82,shoe,0.5035,444.4,337.4,1322.7,775.2,883,556,-0.0238114607447653,0.0049478359989122,0.5999349296062714,0.608280784068566
83,shoe,0.519,444.7,337.3,1322.6,775.1,883,556,-0.0238114614478209,0.0049478361450017,0.5999349473199108,0.6093505627418168
84,shoe,0.5715,444.6,337.5,1322.8,775.0,883,556,-0.0238114632391657,0.0049478365172292,0.5999349924532306,0.6053738194563868
85,shoe,0.6447,444.4,337.6,1322.7,775.0,883,556,-0.0238114773288069,0.0049478394449469,0.5999353474448045,0.6047025017952132
86,shoe,0.5576,444.6,337.5,1322.7,775.1,883,556,-0.0238114722733567,0.0049478383944637,0.5999352200716386,0.6052373584307716
87,shoe,0.6275,443.7,338.1,1324.3,775.1,883,556,-0.0238114481320848,0.0049478333780955,0.5999346118270431,0.6100268264536841
88,shoe,0.5819,443.8,338.0,1324.2,775.2,883,556,-0.0238114305127274,0.0049478297169303,0.5999341679035036,0.6043322450706187
89,shoe,0.5407,444.9,337.3,1322.7,775.2,883,556,-0.023811413179565,0.0049478261152343,0.5999337311907105,0.6122844253470485
90,shoe,0.5213,444.3,337.5,1322.6,774.7,883,555,-0.0238114464172937,0.0046385934579143,0.5999345686225089,0.6098225283731944
91,shoe,0.5968,443.5,337.7,1324.4,774.7,883,555,-0.0238114088096147,0.0046385861317431,0.5999336210888614,0.6092291359203411
92,shoe,0.5778,444.2,337.4,1322.6,774.8,883,555,-0.0238114024525788,0.0046385848933595,0.5999334609219611,0.6122407303539792
93,shoe,0.581,444.6,337.4,1322.8,775.1,883,556,-0.023811311660978,0.0049478050204629,0.5999311734078415,0.6029171450420425
94,shoe,0.5532,444.5,337.2,1322.8,775.0,883,556,-0.0238113392185935,0.0049478107467207,0.5999318677279538,0.6039254311241329
95,shoe,0.5366,444.6,337.3,1322.9,774.9,883,555,-0.0238114275882745,0.0046385897899236,0.599934094221277,0.6049647007999601
96,shoe,0.5536,444.3,337.3,1322.9,774.9,883,555,-0.0238114321358663,0.0046385906758181,0.5999342087988416,0.6079644490154273
97,shoe,0.5334,444.5,337.3,1322.8,774.9,883,555,-0.0238114303420022,0.004638590326364,0.599934163602045,0.6078004470964341
98,shoe,0.5578,444.5,337.2,1322.8,775.0,883,556,-0.0238113614149673,0.0049478153589542,0.5999324269704192,0.5893717026946312
99,shoe,0.5536,444.2,337.5,1322.8,774.9,883,555,-0.0238114342015471,0.0046385910782234,0.5999342608441188,0.6088950630580402
100,shoe,0.5302,444.6,337.3,1322.8,774.9,883,555,-0.0238114299322906,0.0046385902465501,0.5999341532792721,0.6094456482726519
101,shoe,0.529,444.7,337.2,1322.8,775.1,883,556,-0.0238113444990319,0.0049478118439546,0.5999320007697475,0.6063709336070442
102,shoe,0.5512,444.5,337.1,1322.9,775.3,883,556,-0.0238113829977142,0.0049478198436808,0.5999329707524177,0.6108578274228594
103,shoe,0.5518,444.0,337.8,1324.5,774.9,884,555,-0.023502576723473,0.0046386664585801,0.5999440101964181,0.613929642679195
104,shoe,0.4831,443.7,337.8,1324.6,774.9,883,555,-0.0238113641569162,0.0046385774331655,0.599932496054417,0.6103067389492912
105,shoe,0.5159,444.2,337.2,1323.0,775.1,883,556,-0.023811316305952,0.0049478059856523,0.5999312904389705,0.6103883580834808
106,shoe,0.5618,444.2,337.1,1323.0,775.3,883,556,-0.0238113477215946,0.0049478125135781,0.5999320819629168,0.6079920324562146
107,shoe,0.5553,443.5,337.8,1324.6,775.0,883,556,-0.0238113821541218,0.0049478196683889,0.5999329494979229,0.6078919777974602
108,shoe,0.62,443.6,337.7,1324.7,775.2,883,556,-0.0238114175102793,0.0049478270151229,0.5999338403039987,0.6103810201650602
109,shoe,0.5623,444.7,337.2,1322.8,775.3,883,556,-0.0238114151938246,0.0049478265337817,0.5999337819404176,0.6087067141067098
