source_file,frame_idx,timestamp_ms,cls_id,cls_name,conf,x1,y1,x2,y2,w,h
MOV_0174.mp4,62,2071,41,cup,0.9742,643.4,454.7,1191.2,903.9,547.8,449.2
MOV_0174.mp4,63,2105,41,cup,0.9741,643.6,454.7,1191.1,903.9,547.6,449.1
MOV_0174.mp4,64,2138,41,cup,0.9734,643.6,454.7,1191.1,903.7,547.5,449.0
MOV_0174.mp4,65,2172,41,cup,0.9732,643.5,454.5,1191.0,903.7,547.5,449.2
MOV_0174.mp4,66,2205,41,cup,0.9719,643.6,454.5,1191.0,903.7,547.4,449.2
MOV_0174.mp4,67,2239,41,cup,0.9722,643.5,454.6,1191.1,903.6,547.6,449.1
MOV_0174.mp4,68,2272,41,cup,0.9723,643.7,454.5,1191.1,903.7,547.4,449.2
MOV_0174.mp4,69,2305,41,cup,0.9719,644.2,453.6,1190.8,906.8,546.6,453.2
MOV_0174.mp4,70,2339,41,cup,0.973,643.2,454.4,1191.3,903.5,548.1,449.1
MOV_0174.mp4,71,2372,41,cup,0.9733,643.3,454.4,1191.2,903.5,548.0,449.1
MOV_0174.mp4,72,2406,41,cup,0.9743,643.3,454.5,1191.0,903.5,547.7,449.0
MOV_0174.mp4,73,2439,41,cup,0.9751,643.4,454.5,1191.1,903.4,547.7,448.9
MOV_0174.mp4,74,2473,41,cup,0.9747,643.3,454.4,1191.0,903.8,547.6,449.4
MOV_0174.mp4,75,2506,41,cup,0.9745,643.3,454.6,1191.0,903.9,547.7,449.3
MOV_0174.mp4,76,2539,41,cup,0.976,643.3,454.6,1190.9,903.7,547.6,449.1
MOV_0174.mp4,77,2573,41,cup,0.9753,643.4,454.6,1191.0,903.8,547.6,449.2
MOV_0174.mp4,78,2606,41,cup,0.9746,643.4,454.6,1191.0,903.9,547.6,449.3
MOV_0174.mp4,79,2640,41,cup,0.9734,643.4,454.6,1191.0,903.5,547.6,449.0
MOV_0174.mp4,80,2673,41,cup,0.9741,643.3,454.6,1190.9,903.6,547.6,448.9
MOV_0174.mp4,81,2706,41,cup,0.9747,643.2,454.5,1190.9,903.7,547.8,449.1
MOV_0174.mp4,82,2740,41,cup,0.9743,643.4,454.5,1191.0,903.8,547.6,449.2
MOV_0174.mp4,83,2773,41,cup,0.9746,643.4,454.5,1190.9,903.9,547.5,449.3
MOV_0174.mp4,84,2807,41,cup,0.9747,643.3,454.5,1191.0,903.8,547.7,449.3
MOV_0174.mp4,85,2840,41,cup,0.9749,643.4,454.6,1191.0,903.7,547.6,449.0
MOV_0174.mp4,86,2874,41,cup,0.9751,643.3,454.6,1191.1,903.6,547.7,449.1
MOV_0174.mp4,87,2907,41,cup,0.9748,643.3,454.6,1191.0,903.8,547.7,449.2
MOV_0174.mp4,88,2940,41,cup,0.9754,643.2,454.6,1190.9,903.5,547.8,448.9
MOV_0174.mp4,89,2974,41,cup,0.9757,643.1,454.6,1191.0,903.8,547.9,449.3
MOV_0174.mp4,90,3007,41,cup,0.9762,643.0,455.0,1191.1,903.8,548.0,448.8
MOV_0174.mp4,91,3041,41,cup,0.9752,643.1,455.1,1190.9,903.9,547.8,448.7
MOV_0174.mp4,92,3074,41,cup,0.9749,642.9,455.1,1191.2,904.6,548.3,449.5
MOV_0174.mp4,93,3107,41,cup,0.9752,643.0,455.2,1190.9,904.5,547.9,449.3
MOV_0174.mp4,94,3141,41,cup,0.9754,643.0,455.1,1190.9,904.5,547.9,449.5
MOV_0174.mp4,95,3174,41,cup,0.9757,643.0,455.0,1190.8,903.8,547.8,448.8
MOV_0174.mp4,96,3208,41,cup,0.9753,643.0,454.9,1190.9,904.6,547.9,449.7
MOV_0174.mp4,97,3241,41,cup,0.9751,643.2,454.8,1190.9,903.9,547.7,449.1
MOV_0174.mp4,98,3275,41,cup,0.9742,643.1,454.6,1190.9,904.0,547.8,449.5
MOV_0174.mp4,99,3308,41,cup,0.9746,643.1,454.7,1190.9,904.1,547.8,449.4
MOV_0174.mp4,100,3341,41,cup,0.9748,643.3,454.8,1190.9,904.2,547.6,449.5
MOV_0174.mp4,101,3375,41,cup,0.9737,643.3,454.8,1190.9,903.9,547.7,449.1
MOV_0174.mp4,102,3408,41,cup,0.9734,643.2,454.7,1191.0,904.2,547.8,449.5
MOV_0174.mp4,103,3442,41,cup,0.9737,643.3,454.8,1191.0,904.1,547.7,449.4
MOV_0174.mp4,104,3475,41,cup,0.9753,643.3,454.6,1191.0,904.2,547.7,449.6
MOV_0174.mp4,105,3508,41,cup,0.9742,643.3,454.7,1191.0,904.0,547.7,449.3
MOV_0174.mp4,106,3542,41,cup,0.9754,643.3,454.7,1191.1,904.1,547.7,449.4
MOV_0174.mp4,107,3575,41,cup,0.9754,643.3,454.7,1191.2,903.7,547.8,449.0
MOV_0174.mp4,108,3609,41,cup,0.9744,643.3,454.6,1191.1,904.3,547.8,449.7
MOV_0174.mp4,109,3642,41,cup,0.9747,643.4,454.6,1191.2,904.1,547.8,449.4
MOV_0174.mp4,110,3676,41,cup,0.9749,643.3,454.6,1191.2,904.1,547.9,449.5
MOV_0174.mp4,111,3709,41,cup,0.9746,643.2,454.7,1191.2,903.9,547.9,449.2
MOV_0174.mp4,112,3742,41,cup,0.975,643.3,454.7,1191.0,904.0,547.6,449.3
MOV_0174.mp4,113,3776,41,cup,0.9746,643.3,454.8,1190.9,903.9,547.6,449.2
MOV_0174.mp4,114,3809,41,cup,0.9744,643.3,454.8,1190.9,904.1,547.7,449.3
MOV_0174.mp4,115,3843,41,cup,0.9749,643.4,454.7,1191.0,904.2,547.6,449.5
MOV_0174.mp4,116,3876,41,cup,0.9746,643.3,454.6,1191.1,903.7,547.7,449.1
MOV_0174.mp4,117,3910,41,cup,0.9743,643.5,454.7,1191.0,903.6,547.5,448.9
MOV_0174.mp4,118,3943,41,cup,0.974,643.6,454.7,1191.0,903.6,547.4,448.9
MOV_0174.mp4,119,3976,41,cup,0.9744,643.4,454.7,1191.1,903.9,547.7,449.3
MOV_0174.mp4,120,4010,41,cup,0.9736,643.3,454.8,1191.1,904.0,547.9,449.2
MOV_0174.mp4,121,4043,41,cup,0.9741,643.3,454.7,1191.1,903.8,547.8,449.1
MOV_0174.mp4,122,4077,41,cup,0.9735,643.4,454.7,1191.1,903.7,547.7,449.0
MOV_0174.mp4,123,4110,41,cup,0.9734,643.4,454.7,1191.0,903.7,547.6,449.1
MOV_0174.mp4,124,4143,41,cup,0.9741,643.3,454.7,1191.0,903.7,547.6,449.0
MOV_0174.mp4,125,4177,41,cup,0.9727,643.3,454.8,1191.0,903.5,547.7,448.8
MOV_0174.mp4,126,4210,41,cup,0.9738,643.4,454.8,1190.8,903.6,547.4,448.8
MOV_0174.mp4,127,4244,41,cup,0.9745,643.3,454.8,1191.0,903.4,547.7,448.6
MOV_0174.mp4,128,4277,41,cup,0.9724,643.4,454.8,1191.0,903.4,547.6,448.6
MOV_0174.mp4,129,4311,41,cup,0.9733,643.4,454.7,1191.0,903.4,547.5,448.8
MOV_0174.mp4,130,4344,41,cup,0.9724,643.6,454.9,1191.0,903.3,547.4,448.4
MOV_0174.mp4,131,4377,41,cup,0.9739,643.3,454.9,1191.0,903.6,547.7,448.7
MOV_0174.mp4,132,4411,41,cup,0.9745,643.4,454.8,1190.9,903.8,547.5,449.0
MOV_0174.mp4,133,4444,41,cup,0.9748,643.2,455.0,1190.9,904.2,547.7,449.2
MOV_0174.mp4,134,4478,41,cup,0.975,643.1,455.0,1190.9,904.6,547.8,449.6
MOV_0174.mp4,135,4511,41,cup,0.9742,643.2,454.9,1190.9,904.1,547.7,449.2
MOV_0174.mp4,136,4544,41,cup,0.9742,643.1,454.9,1190.9,904.1,547.8,449.1
MOV_0174.mp4,137,4578,41,cup,0.974,643.2,454.8,1190.8,904.0,547.6,449.2
MOV_0174.mp4,138,4611,41,cup,0.975,643.0,454.8,1190.9,904.3,547.8,449.5
MOV_0174.mp4,139,4645,41,cup,0.9754,643.1,454.9,1190.9,903.9,547.8,449.0
MOV_0174.mp4,140,4678,41,cup,0.9744,643.2,454.9,1190.9,904.0,547.7,449.2
MOV_0174.mp4,141,4712,41,cup,0.9747,643.4,454.8,1190.8,904.0,547.4,449.2
MOV_0174.mp4,142,4745,41,cup,0.9746,643.3,454.8,1190.9,903.8,547.7,449.0
