source_file,frame_idx,timestamp_ms,cls_id,cls_name,conf,x1,y1,x2,y2,w,h
MOV_0179.mp4,48,1600,0,person,0.655,1792.4,1.4,1918.7,348.1,126.3,346.7
MOV_0179.mp4,49,1633,0,person,0.8411,1716.1,3.8,1919.1,508.5,203,504.8
MOV_0179.mp4,50,1666,0,person,0.8697,1640.4,19.1,1919.1,529.8,278.8,510.6
MOV_0179.mp4,51,1700,0,person,0.8904,1577.2,41.5,1919.1,555.3,341.9,513.8
MOV_0179.mp4,51,1700,41,cup,0.4404,1214.9,132.4,1639.1,530.5,424.2,398.1
MOV_0179.mp4,52,1733,0,person,0.9081,1520.9,68.3,1919.1,575.9,398.2,507.7
MOV_0179.mp4,52,1733,41,cup,0.6536,1152.9,170.3,1566.3,567.2,413.4,396.8
MOV_0179.mp4,53,1766,0,person,0.9006,1469.8,86.3,1919.1,596,449.4,509.7
MOV_0179.mp4,53,1766,41,cup,0.5925,1106.7,199.5,1496.2,592.4,389.5,392.9
MOV_0179.mp4,54,1800,0,person,0.8838,1424.3,112.8,1919,618.4,494.7,505.6
MOV_0179.mp4,54,1800,41,cup,0.6241,1039.9,223.1,1564.8,611.8,524.9,388.7
MOV_0179.mp4,55,1833,0,person,0.8988,1376.2,141.7,1918.5,639,542.3,497.3
MOV_0179.mp4,55,1833,41,cup,0.5274,1011.2,244.9,1490.3,645,479.1,400.1
MOV_0179.mp4,56,1866,0,person,0.9105,1339.6,169.6,1919.3,659.8,579.6,490.2
MOV_0179.mp4,56,1866,41,cup,0.702,974.6,266.5,1463.6,694.3,489,427.8
MOV_0179.mp4,57,1900,0,person,0.9002,1306.2,192.8,1918.8,692.3,612.6,499.5
MOV_0179.mp4,57,1900,41,cup,0.708,942.8,290.8,1422.7,716.1,479.9,425.3
MOV_0179.mp4,58,1933,0,person,0.9249,1280.8,219.3,1918.6,710.6,637.8,491.3
MOV_0179.mp4,58,1933,41,cup,0.7734,915.6,316.2,1393.4,730.9,477.8,414.7
MOV_0179.mp4,59,1966,0,person,0.9282,1258.2,239.5,1918.4,734.1,660.2,494.6
MOV_0179.mp4,59,1966,41,cup,0.5915,898.8,334.9,1334,745.9,435.2,411
MOV_0179.mp4,60,2000,0,person,0.9376,1245.8,262.8,1918.7,754.9,672.9,492.1
MOV_0179.mp4,60,2000,41,cup,0.7101,889.2,355.1,1342.5,780.7,453.3,425.6
MOV_0179.mp4,61,2033,0,person,0.9381,1234.1,276.9,1918.9,775.2,684.8,498.4
MOV_0179.mp4,61,2033,41,cup,0.7147,874.4,373.4,1331.9,800.4,457.4,427
MOV_0179.mp4,62,2066,0,person,0.9367,1228.2,290,1918.4,788.1,690.2,498.1
MOV_0179.mp4,62,2066,41,cup,0.6917,867.7,386,1316.9,815.8,449.1,429.8
MOV_0179.mp4,63,2100,0,person,0.9394,1225,301.2,1918.5,797.2,693.5,496
MOV_0179.mp4,63,2100,41,cup,0.8334,860.4,394,1307.3,827.1,446.8,433.1
MOV_0179.mp4,64,2133,0,person,0.9366,1223.2,307.1,1919,805.1,695.8,498.1
MOV_0179.mp4,64,2133,41,cup,0.8315,856.3,401.1,1320.4,833.6,464.1,432.5
MOV_0179.mp4,65,2166,0,person,0.9369,1222.7,311.3,1918.9,814,696.2,502.7
MOV_0179.mp4,65,2166,41,cup,0.8638,853.4,403.1,1340.3,838.6,486.9,435.5
MOV_0179.mp4,66,2200,0,person,0.9373,1220.8,313.8,1918.8,817.1,698,503.3
MOV_0179.mp4,66,2200,41,cup,0.8703,850.1,402.8,1337.8,843.6,487.7,440.8
MOV_0179.mp4,67,2233,0,person,0.938,1221.4,315.1,1918.7,820.7,697.3,505.6
MOV_0179.mp4,67,2233,41,cup,0.8723,848.4,403.2,1334.7,846.5,486.3,443.3
MOV_0179.mp4,68,2266,0,person,0.9385,1221.7,317.4,1918.5,827.3,696.8,510
MOV_0179.mp4,68,2266,41,cup,0.866,847.6,405.1,1318.2,851.6,470.6,446.5
MOV_0179.mp4,69,2300,0,person,0.9457,1224.5,323,1918.3,835.3,693.8,512.3
MOV_0179.mp4,69,2300,41,cup,0.8708,848.3,410,1336.4,857.8,488.1,447.8
MOV_0179.mp4,70,2333,0,person,0.9471,1227.3,330,1918.3,845.1,690.9,515.1
MOV_0179.mp4,70,2333,41,cup,0.8415,851.6,419.7,1326.8,880.4,475.2,460.7
